code,,tasks
51-5111.00,51-5111,"['', 'Mount negatives and plates in cameras, set exposure controls, and expose plates to light through negatives to transfer images onto plates.', 'Perform close alignment or registration of double and single flats to sensitized plates prior to exposure to produce composite images.', 'Perform tests to determine lengths of exposures, by exposing plates, scanning line copy, and comparing exposures to tone range scales.', 'Generate prepress proofs in digital or other format to approximate the appearance of the final printed piece.', 'Operate and maintain laser plate-making equipment that converts electronic data to plates without the use of film.', 'Select proper types of plates according to press run lengths.', 'Examine photographic images for obvious imperfections prior to plate making.', ' 5 ofAll 25 displayed (Show allShow top 5)', 'Maintain, adjust, and clean equipment, and perform minor repairs.', 'Occupation-Specific Information', 'Enter, store, and retrieve information on computer-aided equipment.', 'Analyze originals to evaluate color density, gradation highlights, middle tones, and shadows, using densitometers and knowledge of light and color.', 'Arrange and mount typeset material and illustrations into paste-ups for printing reproduction, based on artists' or editors' layouts.', 'Perform minor deletions, additions, or corrections to completed plates, on or off printing presses, using tusche, printing ink, erasers, and needles.', 'Set scanners to specific color densities, sizes, screen rulings, and exposure adjustments, using scanner keyboards or computers.', 'Perform 'preflight' check of required font, graphic, text and image files to ensure completeness prior to delivery to printer.', 'Enter, position, and alter text size, using computers, to make up and arrange pages so that printed materials can be produced.', 'Examine unexposed photographic plates to detect flaws or foreign particles prior to printing.', 'Mix solutions such as developing solutions and colored coating solutions.', 'Tasks', 'Examine finished plates to detect flaws, verify conformity with master plates, and measure dot sizes and centers, using light boxes and microscopes.', 'Operate and maintain a variety of cameras and equipment, such as process, line, halftone, and color separation cameras, enlargers, electronic scanners, and contact equipment.', 'Proofread and perform quality control of text and images.', 'Punch holes in light-sensitive plates and insert pins in holes to prepare plates for contact with positive or negative film.', 'Operate presses to print proofs of plates, monitoring printing quality to ensure that it is adequate.', 'Inspect developed film for specified results and quality, using magnifying glasses and scopes, forwarding acceptable negatives or positives to other workers or to customers.', 'Scale copy for reductions and enlargements, using proportion wheels.', 'Activate scanners to produce positive or negative films for the black-and-white, cyan, yellow, and magenta separations from each original copy.']"
25-2011.00,25-2011,"['', 'Meet with parents and guardians to discuss their children's progress and needs, determine their priorities for their children, and suggest ways that they can promote learning and development.', 'Supervise, evaluate, and plan assignments for teacher assistants and volunteers.', 'Teach proper eating habits and personal hygiene.', 'Organize and lead activities designed to promote physical, mental, and social development, such as games, arts and crafts, music, storytelling, and field trips.', 'Establish and enforce rules for behavior and procedures for maintaining order.', 'Prepare reports on students and activities as required by administration.', 'Occupation-Specific Information', 'Plan and conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate.', 'Attend professional meetings, educational conferences, and teacher training workshops to maintain and improve professional competence.', 'Organize and label materials and display students' work in a manner appropriate for their ages and perceptual skills.', 'Assimilate arriving children to the school environment by greeting them, helping them remove outerwear, and selecting activities of interest to them.', 'Administer tests to help determine children's developmental levels, needs, and potential.', 'Read books to entire classes or to small groups.', 'Provide disabled students with assistive devices, supportive technology, and assistance accessing facilities, such as restrooms.', 'Demonstrate activities to children.', 'Select, store, order, issue, and inventory classroom equipment, materials, and supplies.', 'Confer with other staff members to plan and schedule lessons promoting learning, following approved curricula.', 'Maintain accurate and complete student records as required by laws, district policies, and administrative regulations.', 'Arrange indoor and outdoor space to facilitate creative play, motor-skill activities, and safety.', 'Prepare materials and classrooms for class activities.', 'Observe and evaluate children's performance, behavior, social development, and physical health.', 'Prepare and implement remedial programs for students requiring extra help.', 'Establish clear objectives for all lessons, units, and projects and communicate those objectives to children.', 'Meet with other professionals to discuss individual students' needs and progress.', 'Tasks', 'Attend staff meetings and serve on committees as required.', 'Collaborate with other teachers and administrators in the development, evaluation, and revision of preschool programs.', 'Attend to children's basic needs by feeding them, dressing them, and changing their diapers.', 'Enforce all administration policies and rules governing students.', 'Identify children showing signs of emotional, developmental, or health-related problems and discuss them with supervisors, parents or guardians, and child development specialists.', 'Teach basic skills, such as color, shape, number and letter recognition, personal hygiene, and social skills.', 'Perform administrative duties, such as hall and cafeteria monitoring and bus loading and unloading.', 'Serve meals and snacks in accordance with nutritional guidelines.', ' 5 ofAll 34 displayed (Show allShow top 5)', 'Provide a variety of materials and resources for children to explore, manipulate, and use, both in learning activities and in imaginative play.', 'Plan and supervise class projects, field trips, visits by guests, or other experiential activities and guide students in learning from those activities.', 'Adapt teaching methods and instructional materials to meet students' varying needs and interests.']"
51-6021.00,51-6021,"['', 'Moisten materials to soften and smooth them.', 'Press ties on small pressing machines.', 'Use covering cloths to prevent equipment from damaging delicate fabrics.', 'Spray water over fabric to soften fibers when not using steam irons.', 'Slide material back and forth over heated, metal, ball-shaped forms to smooth and press portions of garments that cannot be satisfactorily pressed with flat pressers or hand irons.', 'Lower irons, rams, or pressing heads of machines into position over material to be pressed.', 'Select, install, and adjust machine components, including pressing forms, rollers, and guides, using hoists and hand tools.', 'Push and pull irons over surfaces of articles to smooth or shape them.', 'Occupation-Specific Information', 'Position materials such as cloth garments, felt, or straw on tables, dies, or feeding mechanisms of pressing machines, or on ironing boards or work tables.', 'Hang, fold, package, and tag finished articles for delivery to customers.', 'Straighten, smooth, or shape materials to prepare them for pressing.', 'Select appropriate pressing machines, based on garment properties such as heat tolerance.', 'Operate steam, hydraulic, or other pressing machines to remove wrinkles from garments and flatwork items, or to shape, form, or patch articles.', 'Activate and adjust machine controls to regulate temperature and pressure of rollers, ironing shoes, or plates, according to specifications.', 'Sew ends of new material to leaders or to ends of material in pressing machines, using sewing machines.', 'Examine and measure finished articles to verify conformance to standards, using measuring devices such as tape measures and micrometers.', 'Insert heated metal forms into ties and touch up rough places with hand irons.', 'Identify and treat spots on garments.', 'Finish pleated garments, determining sizes of pleats from evidence of old pleats or from work orders, using machine presses or hand irons.', 'Clean and maintain pressing machines, using cleaning solutions and lubricants.', 'Tasks', 'Measure fabric to specifications, cut uneven edges with shears, fold material, and press it with an iron to form a heading.', ' 5 ofAll 28 displayed (Show allShow top 5)', 'Finish fancy garments such as evening gowns and costumes, using hand irons to produce high quality finishes.', 'Shrink, stretch, or block articles by hand to conform to original measurements, using forms, blocks, and steam.', 'Finish pants, jackets, shirts, skirts and other dry-cleaned and laundered articles, using hand irons.', 'Brush materials made of suede, leather, or felt to remove spots or to raise and smooth naps.', 'Block or shape knitted garments after cleaning.', 'Finish velvet garments by steaming them on bucks of hot-head presses or steam tables, and brushing pile (nap) with handbrushes.', 'Remove finished pieces from pressing machines and hang or stack them for cooling, or forward them for additional processing.']"
29-1229.05,29-1229,"['', 'Provide information about potential health hazards and possible interventions to the media, the public, other health care professionals, or local, state, and federal health authorities.', 'Prepare preventive health reports, including problem descriptions, analyses, alternative solutions, and recommendations.', 'Develop or implement interventions to address behavioral causes of diseases.', 'Evaluate the effectiveness of prescribed risk reduction measures or other interventions.', ' 5 ofAll 15 displayed (Show allShow top 5)', 'Design or use surveillance tools, such as screening, lab reports, and vital records, to identify health risks.', 'Occupation-Specific Information', 'Direct public health education programs dealing with topics such as preventable diseases, injuries, nutrition, food service sanitation, water supply safety, sewage and waste disposal, insect control, and immunizations.', 'Identify groups at risk for specific preventable diseases or injuries.', 'Deliver presentations to lay or professional audiences.', 'Perform epidemiological investigations of acute and chronic diseases.', 'Design, implement, or evaluate health service delivery systems to improve the health of targeted populations.', 'Direct or manage prevention programs in specialty areas such as aerospace, occupational, infectious disease, and environmental medicine.', 'Tasks', 'Coordinate or integrate the resources of health care institutions, social service agencies, public safety workers, or other organizations to improve community health.', 'Document or review comprehensive patients' histories with an emphasis on occupation or environmental risks.', 'Supervise or coordinate the work of physicians, nurses, statisticians, or other professional staff members.', 'Teach or train medical staff regarding preventive medicine issues.']"
51-5113.00,51-5113,"['', 'Cut binder boards to specified dimensions, using board shears, hand cutters, or cutting machines.', 'Cut cover material to specified dimensions, fitting and gluing material to binder boards by hand or machine.', 'Read work orders to determine instructions and specifications for machine set-up.', 'Compress sewed or glued signatures, using hand presses or smashing machines.', 'Set up or operate machines that perform binding operations, such as pressing, folding, or trimming.', 'Lubricate, clean, or make minor repairs to machine parts to keep machines in working condition.', 'Set up or operate glue machines by filling glue reservoirs, turning switches to activate heating elements, or adjusting glue flow or conveyor speed.', 'Occupation-Specific Information', 'Imprint or emboss lettering, designs, or numbers on book covers, using gold, silver, or colored foil, and stamping machines.', 'Examine stitched, collated, bound, or unbound product samples for defects, such as imperfect bindings, ink spots, torn pages, loose pages, or loose or uncut threads.', 'Trim edges of books to size, using cutting machines, book trimming machines, or hand cutters.', ' 5 ofAll 26 displayed (Show allShow top 5)', 'Punch holes in and fasten paper sheets, signatures, or other material, using hand or machine punches and staplers.', 'Insert book bodies in devices that form back edges of books into convex shapes and produce grooves that facilitate cover attachment.', 'Install or adjust bindery machine devices, such as knives, guides, rollers, rounding forms, creasing rams, or clamps, to accommodate sheets, signatures, or books of specified sizes.', 'Design original or special bindings for limited editions or other custom binding projects.', 'Prepare finished books for shipping by wrapping or packing books and stacking boxes on pallets.', 'Train workers to set up, operate, and use automatic bindery machines.', 'Perform highly skilled hand finishing binding operations, such as grooving or lettering.', 'Meet with clients, printers, or designers to discuss job requirements or binding plans.', 'Tasks', 'Form book bodies by folding and sewing printed sheets to form signatures and assembling signatures in numerical order.', 'Set up or operate bindery machines, such as coil binders, thermal or tape binders, plastic comb binders, or specialty binders.', 'Maintain records, such as daily production records, using specified forms.', 'Repair, restore, or rebind old, rare, or damaged books, using hand tools.', 'Monitor machine operations to detect malfunctions or to determine whether adjustments are needed.', 'Stitch or glue endpapers, bindings, backings, or signatures, using sewing machines, glue machines, or glue and brushes.', 'Bind new books, using hand tools such as bone folders, knives, hammers, or brass binding tools.', 'Apply color to edges of signatures using brushes, pads, or atomizers.']"
51-5112.00,51-5112,"['', 'Download completed jobs to archive media so that questions can be answered or jobs replicated.', ' 5 ofAll 23 displayed (Show allShow top 5)', 'Adjust digital files to alter print elements, such as fonts, graphics, or color separations.', 'Collect and inspect random samples during print runs to identify any necessary adjustments.', 'Clean ink fountains, plates, or printing unit cylinders when press runs are completed.', 'Occupation-Specific Information', 'Load presses with paper and make necessary adjustments, according to paper size.', 'Adjust ink fountain flow rates.', 'Clean or oil presses or make minor repairs, using hand tools.', 'Set up or operate auxiliary equipment, such as cutting, folding, plate-making, drilling, or laminating machines.', 'Control workflow scheduling or job tracking, using computer database software.', 'Start presses and pull proofs to check for ink coverage and density, alignment, and registration.', 'Monitor automated press operation systems and respond to fault, error, or alert messages.', 'Obtain or mix inks and fill ink fountains.', 'Download or scan files to be printed, using printing production software.', 'Input production job settings into workstation terminals that control automated printing systems.', 'Direct or monitor work of press crews.', 'Monitor environmental factors, such as humidity and temperature, that may impact equipment performance and make necessary adjustments.', 'Change press plates, blankets, or cylinders, as required.', 'Tasks', 'Monitor inventory levels on a regular basis, ordering or requesting additional supplies, as necessary.', 'Secure printing plates to printing units and adjust tolerances.', 'Maintain time or production records.', 'Feed paper through press cylinders and adjust feed and tension controls.', 'Examine job orders to determine quantities to be printed, stock specifications, colors, or special printing instructions.', 'Verify that paper and ink meet the specifications for a given job.']"
33-9021.00,33-9021,"['', 'Obtain and analyze information on suspects, crimes, or disturbances to solve cases, to identify criminal activity, or to gather information for court cases.', 'Testify at hearings or court trials to present evidence.', 'Investigate companies' financial standings, or locate funds stolen by embezzlers, using accounting skills.', 'Count cash and review transactions, sales checks, or register tapes to verify amounts or to identify shortages.', 'Confer with establishment officials, security departments, police, or postal officials to identify problems, provide information, or receive instructions.', 'Write reports or case summaries to document investigations.', 'Occupation-Specific Information', 'Observe and document activities of individuals to detect unlawful acts or to obtain evidence for cases, using binoculars and still or video cameras.', 'Warn troublemakers causing problems on establishment premises and eject them from premises when necessary.', 'Perform undercover operations, such as evaluating the performance or honesty of employees by posing as customers or employees.', 'Alert appropriate personnel to suspects' locations.', ' 5 ofAll 17 displayed (Show allShow top 5)', 'Monitor industrial or commercial properties to enforce conformance to establishment rules and to protect people or property.', 'Apprehend suspects and release them to law enforcement authorities or security personnel.', 'Conduct private investigations on a paid basis.', 'Search computer databases, credit reports, public records, tax or legal filings, or other resources to locate persons or to compile information for investigations.', 'Expose fraudulent insurance claims or stolen funds.', 'Question persons to obtain evidence for cases of divorce, child custody, or missing persons or information about individuals' character or financial status.', 'Conduct personal background investigations, such as pre-employment checks, to obtain information about an individual's character, financial status, or personal history.', 'Tasks']"
21-1092.00,21-1092,"['', 'Arrange for medical, mental health, or substance abuse treatment services according to individual needs or court orders.', 'Participate in decisions about whether cases should go before courts and which court should hear them.', 'Investigate alleged parole violations, using interviews, surveillance, and search and seizure.', 'Recommend remedial action or initiate court action in response to noncompliance with terms of probation or parole.', 'Supervise people on community-based sentences, such as electronically monitored home detention, and provide field supervision of probationers by conducting curfew checks or visits to home, work, or school.', 'Assess the suitability of penitentiary inmates for release under parole and statutory release programs and submit recommendations to parole boards.', 'Inform offenders or inmates of requirements of conditional release, such as office visits, restitution payments, or educational and employment stipulations.', 'Provide offenders or inmates with assistance in matters concerning detainers, sentences in other jurisdictions, writs, and applications for social assistance.', 'Conduct prehearing and presentencing investigations and testify in court regarding offenders' backgrounds and recommended sentences and sentencing conditions.', 'Occupation-Specific Information', 'Interview probationers and parolees regularly to evaluate their progress in accomplishing goals and maintaining the terms specified in their probation contracts and rehabilitation plans.', 'Recommend appropriate penitentiary for initial placement of an offender.', 'Discuss with offenders how such issues as drug and alcohol abuse and anger management problems might have played roles in their criminal behavior.', 'Arrange for postrelease services, such as employment, housing, counseling, education, and social activities.', 'Identify and approve work placements for offenders with community service sentences.', 'Write reports describing offenders' progress.', 'Gather information about offenders' backgrounds by talking to offenders, their families and friends, and other people who have relevant information.', ' 5 ofAll 21 displayed (Show allShow top 5)', 'Develop rehabilitation programs for assigned offenders or inmates, establishing rules of conduct, goals, and objectives.', 'Tasks', 'Administer drug and alcohol tests, including random drug screens of offenders, to verify compliance with substance abuse treatment programs.', 'Develop and prepare packets containing information about social service agencies, assistance organizations, and programs that might be useful for inmates or offenders.', 'Prepare and maintain case folder for each assigned inmate or offender.', 'Develop liaisons and networks with other parole officers, community agencies, correctional institutions, psychiatric facilities, and aftercare agencies to plan for helping offenders with life adjustments.']"
43-3061.00,43-3061,"['', 'Monitor contractor performance, recommending contract modifications when necessary.', 'Prepare invitation-of-bid forms, and mail forms to supplier firms or distribute forms for public posting.', 'Compare prices, specifications, and delivery dates to determine the best bid among potential suppliers.', 'Locate suppliers, using sources such as catalogs and the internet, and interview them to gather information about products to be ordered.', 'Track the status of requisitions, contracts, and orders.', 'Train and supervise subordinates and other staff.', 'Occupation-Specific Information', 'Approve and pay bills.', 'Determine if inventory quantities are sufficient for needs, ordering more materials when necessary.', 'Monitor in-house inventory movement and complete inventory transfer forms for bookkeeping purposes.', ' 5 ofAll 19 displayed (Show allShow top 5)', 'Compare suppliers' bills with bids and purchase orders to verify accuracy.', 'Tasks', 'Respond to customer and supplier inquiries about order status, changes, or cancellations.', 'Contact suppliers to schedule or expedite deliveries and to resolve shortages, missed or late deliveries, and other problems.', 'Maintain knowledge of all organizational and governmental rules affecting purchases, and provide information about these rules to organization staff members and to vendors.', 'Prepare purchase orders and send copies to suppliers and to departments originating requests.', 'Perform buying duties when necessary.', 'Review requisition orders to verify accuracy, terminology, and specifications.', 'Prepare, maintain, and review purchasing files, reports and price lists.', 'Check shipments when they arrive to ensure that orders have been filled correctly and that goods meet specifications.', 'Calculate costs of orders, and charge or forward invoices to appropriate accounts.']"
27-2012.00,27-2012,"['', 'Perform administrative duties, such as preparing operational reports, distributing rehearsal call sheets and script copies, and arranging for rehearsal quarters.', 'Hire principal cast members and crew members, such as art directors, cinematographers, and costume designers.', 'Select plays, scripts, books, news content, or ideas to be produced.', 'Review film, recordings, or rehearsals to ensure conformance to production and broadcast standards.', 'Study and research scripts to determine how they should be directed.', 'Compile scripts, program notes, and other material related to productions.', 'Consult with writers, producers, or actors about script changes or 'workshop' scripts, through rehearsal with writers and actors to create final drafts.', 'Choose settings and locations for films and determine how scenes will be shot in these settings.', 'Occupation-Specific Information', 'Cut and edit film or tape to integrate component parts into desired sequences.', 'Develop marketing plans for finished products, collaborating with sales associates to supervise product distribution.', 'Identify and approve equipment and elements required for productions, such as scenery, lights, props, costumes, choreography, and music.', 'Resolve personnel problems that arise during the production process by acting as liaisons between dissenting parties when necessary.', 'Negotiate with parties, including independent producers and the distributors and broadcasters who will be handling completed productions.', 'Establish pace of programs and sequences of scenes according to time requirements and cast and set accessibility.', 'Conduct meetings with staff to discuss production progress and to ensure production objectives are attained.', 'Plan details such as framing, composition, camera movement, sound, and actor movement for each shot or scene.', 'Coordinate the activities of writers, directors, managers, and other personnel throughout the production process.', 'Confer with technical directors, managers, crew members, and writers to discuss details of production, such as photography, script, music, sets, and costumes.', 'Compose and edit scripts or provide screenwriters with story outlines from which scripts can be written.', 'Obtain rights to scripts or to such items as existing video footage.', 'Perform management activities, such as budgeting, scheduling, planning, and marketing.', 'Arrange financing for productions.', 'Research production topics using the internet, video archives, and other informational sources.', 'Tasks', 'Write and edit news stories from information collected by reporters and other sources.', ' 5 ofAll 30 displayed (Show allShow top 5)', 'Direct live broadcasts, films and recordings, or non-broadcast programming for public entertainment or education.', 'Review film daily to check on work in progress and to plan for future filming.', 'Write and submit proposals to bid on contracts for projects.', 'Communicate to actors the approach, characterization, and movement needed for each scene in such a way that rehearsals and takes are minimized.', 'Supervise and coordinate the work of camera, lighting, design, and sound crew members.', 'Hold auditions for parts or negotiate contracts with actors determined suitable for specific roles.']"
43-5061.00,43-5061,"['', 'Maintain files, such as maintenance records, bills of lading, or cost reports.', 'Establish and prepare product construction directions and locations and information on required tools, materials, equipment, numbers of workers needed, and cost projections.', 'Compile information, such as production rates and progress, materials inventories, materials used, or customer information, so that status reports can be completed.', 'Revise production schedules when required due to design changes, labor or material shortages, backlogs, or other interruptions, collaborating with management, marketing, sales, production, or engineering.', 'Plan production commitments or timetables for business units, specific programs, or jobs, using sales forecasts.', 'Calculate figures, such as required amounts of labor or materials, manufacturing costs, or wages, using pricing schedules, adding machines, calculators, or computers.', 'Occupation-Specific Information', 'Requisition and maintain inventories of materials or supplies necessary to meet production demands.', 'Contact suppliers to verify shipment details.', ' 5 ofAll 17 displayed (Show allShow top 5)', 'Record production data, including volume produced, consumption of raw materials, or quality control measures.', 'Distribute production schedules or work orders to departments.', 'Confer with establishment personnel, vendors, or customers to coordinate production or shipping activities and to resolve complaints or eliminate delays.', 'Provide documentation and information to account for delays, difficulties, or changes to cost estimates.', 'Confer with department supervisors or other personnel to assess progress and discuss needed changes.', 'Examine documents, materials, or products and monitor work processes to assess completeness, accuracy, and conformance to standards and specifications.', 'Tasks', 'Compile and prepare documentation related to production sequences, transportation, personnel schedules, or purchase, maintenance, or repair orders.', 'Arrange for delivery, assembly, or distribution of supplies or parts to expedite flow of materials and meet production schedules.', 'Review documents, such as production schedules, work orders, or staffing tables, to determine personnel or materials requirements or material priorities.']"
13-1082.00,13-1082,"['', 'Prepare and submit budget estimates, progress reports, or cost tracking reports.', 'Submit project deliverables to clients, ensuring adherence to quality standards.', 'Confer with project personnel to identify and resolve problems.', 'Develop or update project plans including information such as objectives, technologies, schedules, funding, and staffing.', 'Communicate with key stakeholders to determine project requirements and objectives.', 'Produce and distribute project documents.', 'Monitor costs incurred by project staff to identify budget issues.', 'Report project status, such as budget, resources, technical issues, or customer satisfaction, to managers.', 'Occupation-Specific Information', 'Assign duties or responsibilities to project personnel.', 'Monitor project milestones and deliverables.', 'Plan, schedule, or coordinate project activities to meet deadlines.', 'Identify, review, or select vendors or consultants to meet project needs.', 'Create project status presentations for delivery to customers or project personnel.', 'Propose, review, or approve modifications to project plans.', 'Identify project needs such as resources, staff, or finances by reviewing project objectives and schedules.', 'Schedule or facilitate project meetings.', 'Negotiate with project stakeholders or suppliers to obtain resources or materials.', 'Monitor the performance of project team members to provide performance feedback.', 'Request and review project updates to ensure deadlines are met.', 'Tasks', 'Recruit or hire project personnel.', ' 5 ofAll 20 displayed (Show allShow top 5)']"
43-9081.00,43-9081,"['', 'Consult with authors and editors regarding manuscript changes and suggestions.', 'Occupation-Specific Information', 'Mark copy to indicate and correct errors in type, arrangement, grammar, punctuation, or spelling, using standard printers' marks.', 'Correct or record omissions, errors, or inconsistencies found.', 'Read corrected copies or proofs to ensure that all corrections have been made.', 'Route proofs with marked corrections to authors, editors, typists, or typesetters for correction or reprinting.', 'Archive documents, conduct research, and read copy, using the internet and various computer programs.', 'Write original content, such as headlines, cutlines, captions, and cover copy.', 'Typeset and measure dimensions, spacing, and positioning of page elements, such as copy and illustrations, to verify conformance to specifications, using printer's ruler or layout software.', 'Compare information or figures on one record against same data on other records, or with original copy, to detect errors.', 'Consult reference books or secure aid of readers to check references with rules of grammar and composition.', 'Read proof sheets aloud, calling out punctuation marks and spelling unusual words and proper names.', ' 5 ofAll 11 displayed (Show allShow top 5)', 'Tasks']"
11-9141.00,11-9141,"['', 'Purchase building and maintenance supplies, equipment, or furniture.', 'Meet with boards of directors and committees to discuss and resolve legal and environmental issues or disputes between neighbors.', ' 5 ofAll 27 displayed (Show allShow top 5)', 'Act as liaisons between on-site managers or tenants and owners.', 'Solicit and analyze bids from contractors for repairs, renovations, and maintenance.', 'Review rents to ensure that they are in line with rental markets.', 'Analyze information on property values, taxes, zoning, population growth, and traffic volume and patterns to determine if properties should be acquired.', 'Contract with architectural firms to draw up detailed plans for new structures.', 'Maintain contact with insurance carriers, fire and police departments, and other agencies to ensure protection and compliance with codes and regulations.', 'Determine and certify the eligibility of prospective tenants, following government regulations.', 'Negotiate with government leaders, businesses, special interest representatives, and utility companies to gain support for new projects and to eliminate potential obstacles.', 'Occupation-Specific Information', 'Prepare detailed budgets and financial reports for properties.', 'Prepare and administer contracts for provision of property services, such as cleaning, maintenance, and security services.', 'Manage and oversee operations, maintenance, administration, and improvement of commercial, industrial, or residential properties.', 'Direct collection of monthly assessments, rental fees, and deposits and payment of insurance premiums, mortgage, taxes, and incurred operating expenses.', 'Meet with clients to negotiate management and service contracts, determine priorities, and discuss the financial and operational status of properties.', 'Investigate complaints, disturbances, and violations and resolve problems, following management rules and regulations.', 'Tasks', 'Direct and coordinate the activities of staff and contract personnel and evaluate their performance.', 'Inspect grounds, facilities, and equipment routinely to determine necessity of repairs or maintenance.', 'Confer regularly with community association members to ensure their needs are being met.', 'Negotiate the sale, lease, or development of property and complete or review appropriate documents and forms.', 'Clean common areas, change light bulbs, and make minor property repairs.', 'Negotiate short- and long-term loans to finance construction and ownership of structures.', 'Maintain records of sales, rental or usage activity, special permits issued, maintenance and operating costs, or property availability.', 'Plan, schedule, and coordinate general maintenance, major repairs, and remodeling or construction projects for commercial or residential properties.', 'Confer with legal authorities to ensure that renting and advertising practices are not discriminatory and that properties comply with state and federal regulations.', 'Market vacant space to prospective tenants through leasing agents, advertising, or other methods.', 'Meet with prospective tenants to show properties, explain terms of occupancy, and provide information about local areas.']"
29-1024.00,29-1024,"['', 'Place veneers onto teeth to conceal defects.', 'Occupation-Specific Information', 'Design and fabricate dental prostheses, or supervise dental technicians and laboratory bench workers who construct the devices.', 'Fit prostheses to patients, making any necessary adjustments and modifications.', 'Collaborate with general dentists, specialists, and other health professionals to develop solutions to dental and oral health concerns.', 'Use bonding technology on the surface of the teeth to change tooth shape or to close gaps.', 'Bleach discolored teeth to brighten and whiten them.', 'Repair, reline, or rebase dentures.', 'Treat facial pain and jaw joint problems.', ' 5 ofAll 11 displayed (Show allShow top 5)', 'Measure and take impressions of patients' jaws and teeth to determine the shape and size of dental prostheses, using face bows, dental articulators, recording devices, and other materials.', 'Tasks', 'Replace missing teeth and associated oral structures with permanent fixtures, such as implant-supported prostheses, crowns and bridges, or removable fixtures, such as dentures.', 'Restore function and aesthetics to traumatic injury victims, or to individuals with diseases or birth defects.']"
31-1133.00,31-1133,"['', 'Aid patients in becoming accustomed to hospital routines.', 'Perform nursing duties, such as administering medications, measuring vital signs, collecting specimens, or drawing blood samples.', 'Clean and disinfect rooms and furnishings to maintain a safe and orderly environment.', 'Occupation-Specific Information', 'Work as part of a team that may include psychiatrists, psychologists, psychiatric nurses, or social workers.', 'Serve meals or feed patients needing assistance or persuasion.', 'Provide mentally impaired or emotionally disturbed patients with routine physical, emotional, psychological, or rehabilitation care under the direction of nursing or medical staff.', 'Interview patients upon admission and record information.', 'Participate in recreational activities with patients, including card games, sports, or television viewing.', ' 5 ofAll 17 displayed (Show allShow top 5)', 'Provide patients with assistance in bathing, dressing, or grooming, demonstrating these skills as necessary.', 'Maintain patients' restrictions to assigned areas.', 'Listen and provide emotional support and encouragement to psychiatric patients.', 'Record and maintain patient information, such as vital signs, eating habits, behavior, progress notes, treatments, or discharge plans.', 'Complete physical checks and monitor patients to detect unusual or harmful behavior and report observations to professional staff.', 'Accompany patients to and from wards for medical or dental treatments, shopping trips, or religious or recreational events.', 'Tasks', 'Organize, supervise, or encourage patient participation in social, educational, or recreational activities.', 'Complete administrative tasks, such as entering orders into computer, answering telephone calls, or maintaining medical or facility information.', 'Restrain or aid patients as necessary to prevent injury.']"
29-2053.00,29-2053,"['', 'Escort patients to medical appointments.', 'Issue medications from dispensary and maintain records in accordance with specified procedures.', 'Observe and influence patients' behavior, communicating and interacting with them and teaching, counseling, or befriending them.', 'Take and record measures of patients' physical condition, using devices such as thermometers or blood pressure gauges.', 'Provide nursing, psychiatric, or personal care to mentally ill, emotionally disturbed, or mentally retarded patients.', 'Interview new patients to complete admission forms, to assess their mental health status, or to obtain their mental health and treatment history.', 'Occupation-Specific Information', 'Contact patients' relatives to arrange family conferences.', 'Administer oral medications or hypodermic injections, following physician's prescriptions and hospital procedures.', 'Encourage patients to develop work skills and to participate in social, recreational, or other therapeutic activities that enhance interpersonal skills or develop social relationships.', 'Aid patients in performing tasks, such as bathing or keeping beds, clothing, or living areas clean.', 'Collaborate with or assist doctors, psychologists, or rehabilitation therapists in working with mentally ill, emotionally disturbed, or developmentally disabled patients to treat, rehabilitate, and return patients to the community.', ' 5 ofAll 16 displayed (Show allShow top 5)', 'Monitor patients' physical and emotional well-being and report unusual behavior or physical ailments to medical staff.', 'Tasks', 'Develop or teach strategies to promote client wellness and independence.', 'Train or instruct new employees on procedures to follow with psychiatric patients.', 'Lead prescribed individual or group therapy sessions as part of specific therapeutic procedures.', 'Restrain violent, potentially violent, or suicidal patients by verbal or physical means as required.']"
29-1223.00,29-1223,"['', 'Design individualized care plans, using a variety of treatments.', 'Occupation-Specific Information', 'Prepare and submit case reports or summaries to government or mental health agencies.', 'Examine or conduct laboratory or diagnostic tests on patients to provide information on general physical condition or mental disorder.', 'Teach, take continuing education classes, attend conferences or seminars, or conduct research and publish findings to increase understanding of mental, emotional, or behavioral states or disorders.', 'Gather and maintain patient information and records, including social or medical history obtained from patients, relatives, or other professionals.', 'Counsel outpatients or other patients during office visits.', 'Serve on committees to promote or maintain community mental health services or delivery systems.', 'Analyze and evaluate patient data or test findings to diagnose nature or extent of mental disorder.', 'Review and evaluate treatment procedures and outcomes of other psychiatrists or medical professionals.', 'Prescribe, direct, or administer psychotherapeutic treatments or medications to treat mental, emotional, or behavioral disorders.', 'Advise or inform guardians, relatives, or significant others of patients' conditions or treatment.', 'Tasks', ' 5 ofAll 12 displayed (Show allShow top 5)', 'Collaborate with physicians, psychologists, social workers, psychiatric nurses, or other professionals to discuss treatment plans and progress.']"
